block;number_of_variants;height_external;width_external;volume;blast_resistance;luminance;conductive;full_cube;spawnable;movable
Red Banner;32;0;0;0;1.0;0.0;0;0;0;0
White Banner;32;0;0;0;1.0;0.0;0;0;0;0
Yellow Banner;32;0;0;0;1.0;0.0;0;0;0;0
Barrel;1;16;16;4096;2.5;0.0;2;2;5;0
Barrier;1;16;16;4096;3600000.75;0.0;2;2;0;0
Basalt;3;16;16;4096;4.2;0.0;2;2;5;3
Polished Basalt;3;16;16;4096;4.2;0.0;2;2;5;3
Smooth Basalt;3;16;16;4096;4.2;0.0;2;2;5;3
Beacon;1;16;16;4096;3.0;15.0;0;2;0;0
Bedrock;1;16;16;4096;3600000.0;0.0;2;2;0;0
Black Bed;16;9;9;729;0.2;0.0;0;0;0;1
Blue Bed;16;9;9;729;0.2;0.0;0;0;0;1
Brown Bed;16;9;9;729;0.2;0.0;0;0;0;1
Cyan Bed;16;9;9;729;0.2;0.0;0;0;0;1
Gray Bed;16;9;9;729;0.2;0.0;0;0;0;1
Green Bed;16;9;9;729;0.2;0.0;0;0;0;1
Light Blue Bed;16;9;9;729;0.2;0.0;0;0;0;1
Light Gray Bed;16;9;9;729;0.2;0.0;0;0;0;1
Lime Bed;16;9;9;729;0.2;0.0;0;0;0;1
Magenta Bed;16;9;9;729;0.2;0.0;0;0;0;1
Orange Bed;16;9;9;729;0.2;0.0;0;0;0;1
Pink Bed;16;9;9;729;0.2;0.0;0;0;0;1
Purple Bed;16;9;9;729;0.2;0.0;0;0;0;1
Red Bed;16;9;9;729;0.2;0.0;0;0;0;1
White Bed;16;9;9;729;0.2;0.0;0;0;0;1
Yellow Bed;16;9;9;729;0.2;0.0;0;0;0;1
Bee Nest;1;16;16;4096;0.3;0.0;2;2;5;0
Beehive;1;16;16;4096;0.6000000000000001;0.0;2;2;5;0
Bell;1;12;12;1728;5.0;0.0;0;0;0;1
Big Dripleaf;2;14;16;3584;50.05;0.0;0;0;0;1
Big Dripleaf Stem;2;14;16;3584;50.05;0.0;0;0;0;1
Blackstone;5;16;16;4096;6.0;0.0;2;2;5;3
Chiseled Polished Blackstone;5;16;16;4096;6.0;0.0;2;2;5;3
Cracked Polished Blackstone Bricks;5;16;16;4096;6.0;0.0;2;2;5;3
Polished Blackstone;5;16;16;4096;6.0;0.0;2;2;5;3
Polished Blackstone Bricks;5;16;16;4096;6.0;0.0;2;2;5;3
Blast Furnace;1;16;16;4096;3.5;6.5;2;2;5;0
Block of Amethyst;1;16;16;4096;1.5;0.0;2;2;5;3
Block of Bamboo;1;16;16;4096;2.0;0.0;2;2;5;3
Block of Coal;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Exposed Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Exposed Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Oxidized Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Oxidized Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Block of Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Exposed Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Exposed Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Oxidized Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Oxidized Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Weathered Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Waxed Weathered Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Weathered Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Weathered Cut Copper;16;16;16;4096;6.0;0.0;2;2;5;3
Block of Diamond;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Emerald;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Gold;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Iron;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Lapis Lazuli;1;16;16;4096;3.0;0.0;2;2;5;3
Block of Netherite;1;16;16;4096;1200.0;0.0;2;2;5;3
Block of Quartz;5;16;16;4096;0.8;0.0;2;2;5;3
Chiseled Quartz Block;5;16;16;4096;0.8;0.0;2;2;5;3
Quartz Bricks;5;16;16;4096;0.8;0.0;2;2;5;3
Quartz Pillar;5;16;16;4096;0.8;0.0;2;2;5;3
Smooth Quartz Block;5;16;16;4096;6.0;0.0;2;2;5;3
Block of Raw Copper;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Raw Gold;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Raw Iron;1;16;16;4096;6.0;0.0;2;2;5;3
Block of Redstone;1;16;16;4096;6.0;0.0;0;2;5;3
Block of Stripped Bamboo;1;16;16;4096;2.0;0.0;2;2;5;3
Blue Ice;1;16;16;4096;2.8;0.0;2;2;5;3
Bone Block;1;16;16;4096;2.0;0.0;2;2;5;3
Bookshelf;1;16;16;4096;1.5;0.0;2;2;5;3
Brewing Stand;1;8;12;1152;0.5;1.0;0;0;0;0
Bricks;1;16;16;4096;6.0;0.0;2;2;5;3
Budding Amethyst;1;16;16;4096;1.5;0.0;2;2;5;1
Acacia Button;14;0;0;0;0.5;0.0;0;0;0;1
Bamboo Button;14;0;0;0;0.5;0.0;0;0;0;1
Birch Button;14;0;0;0;0.5;0.0;0;0;0;1
Cherry Button;14;0;0;0;0.5;0.0;0;0;0;1
Crimson Button;14;0;0;0;0.5;0.0;0;0;0;1
Dark Oak Button;14;0;0;0;0.5;0.0;0;0;0;1
Jungle Button;14;0;0;0;0.5;0.0;0;0;0;1
Mangrove Button;14;0;0;0;0.5;0.0;0;0;0;1
Oak Button;14;0;0;0;0.5;0.0;0;0;0;1
Pale Oak Button;14;0;0;0;0.5;0.0;0;0;0;1
Polished Blackstone Button;14;0;0;0;0.5;0.0;0;0;0;1
Spruce Button;14;0;0;0;0.5;0.0;0;0;0;1
Stone Button;14;0;0;0;0.5;0.0;0;0;0;1
Warped Button;14;0;0;0;0.5;0.0;0;0;0;1
Cactus;1;15;15;3375;0.4;0.0;0;0;0;1
Cake;18;8;10;800;0.5;0.0;0;0;0;1
Cake with Black Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Blue Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Brown Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Cyan Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Gray Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Green Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Light Blue Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Light Gray Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Lime Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Magenta Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Orange Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Pink Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Purple Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Red Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with White Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Cake with Yellow Candle;18;11;10;1100;0.5;1.5;0;0;0;1
Calcite;1;16;16;4096;0.75;0.0;2;2;5;3
Calibrated Sculk Sensor;1;8;16;2048;50.75;1.0;0;0;0;0
Campfire;2;7;16;1792;51.0;7.5;0;0;0;0
Soul Campfire;2;7;16;1792;51.0;5.0;0;0;0;0
Black Candle;17;6;10;600;50.05;3.75;0;0;0;1
Blue Candle;17;6;10;600;50.05;3.75;0;0;0;1
Brown Candle;17;6;10;600;50.05;3.75;0;0;0;1
Candle;17;6;10;600;50.05;3.75;0;0;0;1
Cyan Candle;17;6;10;600;50.05;3.75;0;0;0;1
Gray Candle;17;6;10;600;50.05;3.75;0;0;0;1
Green Candle;17;6;10;600;50.05;3.75;0;0;0;1
Light Blue Candle;17;6;10;600;50.05;3.75;0;0;0;1
Light Gray Candle;17;6;10;600;50.05;3.75;0;0;0;1
Lime Candle;17;6;10;600;50.05;3.75;0;0;0;1
Magenta Candle;17;6;10;600;50.05;3.75;0;0;0;1
Orange Candle;17;6;10;600;50.05;3.75;0;0;0;1
Pink Candle;17;6;10;600;50.05;3.75;0;0;0;1
Purple Candle;17;6;10;600;50.05;3.75;0;0;0;1
Red Candle;17;6;10;600;50.05;3.75;0;0;0;1
White Candle;17;6;10;600;50.05;3.75;0;0;0;1
Yellow Candle;17;6;10;600;50.05;3.75;0;0;0;1
Black Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Blue Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Brown Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Cyan Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Gray Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Green Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Light Blue Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Light Gray Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Lime Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Magenta Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Orange Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Pink Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Purple Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Red Carpet;16;1;16;256;0.1;0.0;0;0;0;3
White Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Yellow Carpet;16;1;16;256;0.1;0.0;0;0;0;3
Cartography Table;1;16;16;4096;2.5;0.0;2;2;5;3
Cauldron;4;10;7;490;2.0;0.0;0;0;0;3
Lava Cauldron;4;10;7;490;2.0;15.0;0;0;0;3
Powder Snow Cauldron;4;10;7;490;2.0;0.0;0;0;0;3
Water Cauldron;4;10;7;490;2.0;0.0;0;0;0;3
Cave Vines;2;0;0;0;0.0;7.0;0;0;0;1
Cave Vines Plant;2;0;0;0;0.0;7.0;0;0;0;1
Chain;1;12;12;1728;53.0;0.0;0;0;0;3
Chest;1;14;15;3150;51.25;0.0;0;0;0;0
Chiseled Bookshelf;1;16;16;4096;1.5;0.0;2;2;5;0
Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Exposed Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Oxidized Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Waxed Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Waxed Exposed Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Waxed Oxidized Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Waxed Weathered Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Weathered Chiseled Copper;8;16;16;4096;6.0;0.0;2;2;5;3
Chiseled Tuff;1;16;16;4096;6.0;0.0;2;2;5;3
Chiseled Tuff Bricks;1;16;16;4096;6.0;0.0;2;2;5;3
Chorus Flower;1;16;16;4096;0.4;0.0;0;2;0;1
Chorus Plant;1;14;14;2744;0.4;0.0;0;0;0;1
Clay;1;16;16;4096;0.6000000000000001;0.0;2;2;5;3
Coal Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Deepslate Coal Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Coarse Dirt;1;16;16;4096;0.5;0.0;2;2;5;3
Chiseled Deepslate;7;16;16;4096;6.0;0.0;2;2;5;3
Cobbled Deepslate;7;16;16;4096;6.0;0.0;2;2;5;3
Cracked Deepslate Bricks;7;16;16;4096;6.0;0.0;2;2;5;3
Cracked Deepslate Tiles;7;16;16;4096;6.0;0.0;2;2;5;3
Deepslate Bricks;7;16;16;4096;6.0;0.0;2;2;5;3
Deepslate Tiles;7;16;16;4096;6.0;0.0;2;2;5;3
Polished Deepslate;7;16;16;4096;6.0;0.0;2;2;5;3
Cobblestone;3;16;16;4096;6.0;0.0;2;2;5;3
Infested Cobblestone;3;16;16;4096;0.75;0.0;2;2;5;3
Mossy Cobblestone;3;16;16;4096;6.0;0.0;2;2;5;3
Cobweb;1;0;0;0;4.0;0.0;0;0;0;1
Cocoa;1;12;10;1200;3.0;0.0;0;0;0;1
Chain Command Block;3;16;16;4096;3600000.0;0.0;2;2;5;0
Command Block;3;16;16;4096;3600000.0;0.0;2;2;5;0
Repeating Command Block;3;16;16;4096;3600000.0;0.0;2;2;5;0
Composter;1;9;9;729;0.6000000000000001;0.0;0;0;0;3
Black Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Blue Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Brown Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Cyan Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Gray Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Green Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Light Blue Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Light Gray Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Lime Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Magenta Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Orange Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Pink Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Purple Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Red Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
White Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Yellow Concrete;16;16;16;4096;1.8;0.0;2;2;5;3
Black Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Blue Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Brown Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Cyan Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Gray Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Green Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Light Blue Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Light Gray Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Lime Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Magenta Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Orange Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Pink Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Purple Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Red Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
White Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Yellow Concrete Powder;16;16;16;4096;0.5;0.0;2;2;5;3
Conduit;1;11;11;1331;51.5;15.0;0;0;0;0
Copper Bulb;8;16;16;4096;6.0;7.5;0;2;4;3
Exposed Copper Bulb;8;16;16;4096;6.0;6.0;0;2;4;3
Oxidized Copper Bulb;8;16;16;4096;6.0;2.0;0;2;4;3
Waxed Copper Bulb;8;16;16;4096;6.0;7.5;0;2;4;3
Waxed Exposed Copper Bulb;8;16;16;4096;6.0;6.0;0;2;4;3
Waxed Oxidized Copper Bulb;8;16;16;4096;6.0;2.0;0;2;4;3
Waxed Weathered Copper Bulb;8;16;16;4096;6.0;4.0;0;2;4;3
Weathered Copper Bulb;8;16;16;4096;6.0;4.0;0;2;4;3
Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Exposed Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Oxidized Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Waxed Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Waxed Exposed Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Waxed Oxidized Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Waxed Weathered Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Weathered Copper Grate;8;16;16;4096;53.0;0.0;0;2;0;3
Copper Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Deepslate Copper Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Brain Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Bubble Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Dead Brain Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Dead Bubble Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Dead Fire Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Dead Horn Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Dead Tube Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Fire Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Horn Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Tube Coral Block;10;16;16;4096;6.0;0.0;2;2;5;3
Brain Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Brain Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Bubble Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Bubble Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Brain Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Brain Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Bubble Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Bubble Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Fire Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Fire Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Horn Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Horn Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Tube Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Dead Tube Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Fire Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Fire Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Horn Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Horn Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Tube Coral Fan;20;0;0;0;50.0;0.0;0;0;0;3
Tube Coral Wall Fan;20;0;0;0;50.0;0.0;0;0;0;3
Brain Coral;10;0;0;0;50.0;0.0;0;0;0;3
Bubble Coral;10;0;0;0;50.0;0.0;0;0;0;3
Dead Brain Coral;10;0;0;0;50.0;0.0;0;0;0;3
Dead Bubble Coral;10;0;0;0;50.0;0.0;0;0;0;3
Dead Fire Coral;10;0;0;0;50.0;0.0;0;0;0;3
Dead Horn Coral;10;0;0;0;50.0;0.0;0;0;0;3
Dead Tube Coral;10;0;0;0;50.0;0.0;0;0;0;3
Fire Coral;10;0;0;0;50.0;0.0;0;0;0;3
Horn Coral;10;0;0;0;50.0;0.0;0;0;0;3
Tube Coral;10;0;0;0;50.0;0.0;0;0;0;3
Crafter;1;16;16;4096;3.5;0.0;2;2;5;0
Crafting Table;1;16;16;4096;2.5;0.0;2;2;5;3
Creaking Heart;1;16;16;4096;10.0;0.0;2;2;5;0
Attached Melon Stem;8;0;0;0;0.0;0.0;0;0;0;1
Attached Pumpkin Stem;8;0;0;0;0.0;0.0;0;0;0;1
Beetroots;8;0;0;0;0.0;0.0;0;0;0;1
Carrots;8;0;0;0;0.0;0.0;0;0;0;1
Melon Stem;8;0;0;0;0.0;0.0;0;0;0;1
Potatoes;8;0;0;0;0.0;0.0;0;0;0;1
Pumpkin Stem;8;0;0;0;0.0;0.0;0;0;0;1
Wheat Crops;8;0;0;0;0.0;0.0;0;0;0;1
Crying Obsidian;1;16;16;4096;1200.0;10.0;2;2;5;0
Daylight Detector;1;6;16;1536;0.2;0.0;0;0;0;0
Dead Bush;1;0;0;0;0.0;0.0;0;0;0;1
Decorated Pot;1;16;15;3600;50.0;0.0;0;0;0;1
Deepslate;2;16;16;4096;6.0;0.0;2;2;5;3
Infested Deepslate;2;16;16;4096;0.75;0.0;2;2;5;3
Detector Rail;1;0;0;0;50.35;0.0;0;0;0;3
Deepslate Diamond Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Diamond Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Diorite;2;16;16;4096;6.0;0.0;2;2;5;3
Polished Diorite;2;16;16;4096;6.0;0.0;2;2;5;3
Dirt;2;16;16;4096;0.5;0.0;2;2;5;3
Rooted Dirt;2;16;16;4096;0.5;0.0;2;2;5;3
Dirt Path;1;15;16;3840;0.65;0.0;0;0;0;3
Dispenser;1;16;16;4096;3.5;0.0;2;2;5;0
Acacia Door;21;16;9;1296;3.0;0.0;0;0;0;1
Bamboo Door;21;16;9;1296;3.0;0.0;0;0;0;1
Birch Door;21;16;9;1296;3.0;0.0;0;0;0;1
Cherry Door;21;16;9;1296;3.0;0.0;0;0;0;1
Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Crimson Door;21;16;9;1296;3.0;0.0;0;0;0;1
Dark Oak Door;21;16;9;1296;3.0;0.0;0;0;0;1
Exposed Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Iron Door;21;16;9;1296;5.0;0.0;0;0;0;1
Jungle Door;21;16;9;1296;3.0;0.0;0;0;0;1
Mangrove Door;21;16;9;1296;3.0;0.0;0;0;0;1
Oak Door;21;16;9;1296;3.0;0.0;0;0;0;1
Oxidized Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Pale Oak Door;21;16;9;1296;3.0;0.0;0;0;0;1
Spruce Door;21;16;9;1296;3.0;0.0;0;0;0;1
Warped Door;21;16;9;1296;3.0;0.0;0;0;0;1
Waxed Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Waxed Exposed Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Waxed Oxidized Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Waxed Weathered Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Weathered Copper Door;21;16;9;1296;6.0;0.0;0;0;0;1
Dragon Egg;1;16;15;3600;9.0;1.0;0;0;0;3
Dried Kelp Block;1;16;16;4096;2.5;0.0;2;2;5;3
Dripstone Block;1;16;16;4096;1.0;0.0;2;2;5;3
Dropper;1;16;16;4096;3.5;0.0;2;2;5;0
Deepslate Emerald Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Emerald Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Enchanting Table;1;12;16;3072;1200.0;7.0;0;0;0;0
End Gateway;1;0;0;0;3600000.0;15.0;0;0;0;0
End Portal;1;0;0;0;3600000.0;15.0;0;0;0;0
End Portal Frame;1;14;14;2744;3600000.0;1.0;0;0;0;0
End Rod;1;13;13;2197;0.0;14.0;0;0;0;3
End Stone;1;16;16;4096;9.0;0.0;2;2;5;3
End Stone Bricks;1;16;16;4096;9.0;0.0;2;2;5;3
Ender Chest;1;14;15;3150;600.0;7.0;0;0;0;0
Farmland;1;15;16;3840;0.6000000000000001;0.0;0;0;0;3
Acacia Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Bamboo Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Birch Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Cherry Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Crimson Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Dark Oak Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Jungle Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Mangrove Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Oak Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Pale Oak Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Spruce Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Warped Fence Gate;12;24;13;4056;3.0;0.0;0;0;0;3
Acacia Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Bamboo Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Birch Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Cherry Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Crimson Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Dark Oak Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Jungle Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Mangrove Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Nether Brick Fence;13;24;13;4056;53.0;0.0;0;0;0;3
Oak Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Pale Oak Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Spruce Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Warped Fence;13;24;13;4056;51.5;0.0;0;0;0;3
Fern;2;0;0;0;0.0;0.0;0;0;0;1
Large Fern;2;0;0;0;0.0;0.0;0;0;0;1
Fire;2;0;0;0;0.0;15.0;0;0;0;1
Soul Fire;2;0;0;0;0.0;10.0;0;0;0;1
Fletching Table;1;16;16;4096;2.5;0.0;2;2;5;3
Flower Pot;38;6;11;726;0.0;0.0;0;0;0;1
Potted Acacia Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Allium;38;6;11;726;0.0;0.0;0;0;0;1
Potted Azalea;38;6;11;726;0.0;0.0;0;0;0;1
Potted Azure Bluet;38;6;11;726;0.0;0.0;0;0;0;1
Potted Bamboo;38;6;11;726;0.0;0.0;0;0;0;1
